species,form,acquisition_method,map,encounter_type,badge_requirement,rate,evolution_source,quest,notes
SPECIES_ZIGZAGOON,,wild,ROUTE_1,land,0,table slot,,,morning; levels 2-3
SPECIES_TAILLOW,,wild,ROUTE_1,land,0,table slot,,,morning; levels 2-3
SPECIES_LOTAD,,wild,ROUTE_1,land,0,table slot,,,morning; levels 2-3
SPECIES_SHROOMISH,,wild,ROUTE_1,land,0,table slot,,,morning; levels 2-3
SPECIES_PAWMI,,wild,ROUTE_1,land,0,table slot,,,morning; levels 2-3
SPECIES_MINCCINO,,wild,ROUTE_1,land,0,table slot,,,morning; levels 2-3
SPECIES_MAKUHITA,,wild,ROUTE_1,land,0,table slot,,,morning; levels 2-3
SPECIES_FLABEBE,,wild,ROUTE_1,land,0,table slot,,,morning; levels 2-3
SPECIES_WINGULL,,wild,ROUTE_1,land,0,table slot,,,morning; levels 2-3
SPECIES_VULPIX,,wild,ROUTE_1,land,0,table slot,,,morning; levels 2-2
SPECIES_ELECTRIKE,,wild,ROUTE_1,land,0,table slot,,,morning; levels 2-3
SPECIES_RIOLU,,wild,ROUTE_1,land,0,table slot,,,morning; levels 2-3
SPECIES_ZIGZAGOON,,wild,ROUTE_1,land,0,table slot,,,day; levels 2-3
SPECIES_BUIZEL,,wild,ROUTE_1,land,0,table slot,,,day; levels 2-3
SPECIES_ROOKIDEE,,wild,ROUTE_1,land,0,table slot,,,day; levels 2-3
SPECIES_BUNEARY,,wild,ROUTE_1,land,0,table slot,,,day; levels 2-3
SPECIES_SEWADDLE,,wild,ROUTE_1,land,0,table slot,,,day; levels 2-3
SPECIES_SNOM,,wild,ROUTE_1,land,0,table slot,,,day; levels 2-3
SPECIES_JOLTIK,,wild,ROUTE_1,land,0,table slot,,,day; levels 2-3
SPECIES_HOUNDOUR,,wild,ROUTE_1,land,0,table slot,,,day; levels 2-3
SPECIES_DEERLING,,wild,ROUTE_1,land,0,table slot,,,day; levels 1-3
SPECIES_MUNCHLAX,,wild,ROUTE_1,land,0,table slot,,,day; levels 2-3
SPECIES_DREEPY,,wild,ROUTE_1,land,0,table slot,,,day; levels 2-3
SPECIES_TINKATINK,,wild,ROUTE_1,land,0,table slot,,,day; levels 1-3
SPECIES_NIDORAN_M,,wild,ROUTE_1,land,0,table slot,,,evening; levels 2-3
SPECIES_NIDORAN_F,,wild,ROUTE_1,land,0,table slot,,,evening; levels 2-3
SPECIES_MURKROW,,wild,ROUTE_1,land,0,table slot,,,evening; levels 2-3
SPECIES_SNUBBULL,,wild,ROUTE_1,land,0,table slot,,,evening; levels 2-3
SPECIES_BUNEARY,,wild,ROUTE_1,land,0,table slot,,,evening; levels 2-3
SPECIES_NICKIT,,wild,ROUTE_1,land,0,table slot,,,evening; levels 2-3
SPECIES_GOSSIFLEUR,,wild,ROUTE_1,land,0,table slot,,,evening; levels 2-3
SPECIES_YAMPER,,wild,ROUTE_1,land,0,table slot,,,evening; levels 2-3
SPECIES_DRIFLOON,,wild,ROUTE_1,land,0,table slot,,,evening; levels 2-3
SPECIES_HOUNDOUR,,wild,ROUTE_1,land,0,table slot,,,evening; levels 2-2
SPECIES_GLAMEOW,,wild,ROUTE_1,land,0,table slot,,,evening; levels 2-3
SPECIES_TOXEL,,wild,ROUTE_1,land,0,table slot,,,evening; levels 2-3
SPECIES_HOOTHOOT,,wild,ROUTE_1,land,0,table slot,,,night; levels 2-3
SPECIES_POOCHYENA,,wild,ROUTE_1,land,0,table slot,,,night; levels 2-3
SPECIES_SPINARAK,,wild,ROUTE_1,land,0,table slot,,,night; levels 2-3
SPECIES_CUTIEFLY,,wild,ROUTE_1,land,0,table slot,,,night; levels 2-3
SPECIES_SANDSHREW,,wild,ROUTE_1,land,0,table slot,,,night; levels 2-3
SPECIES_CLEFFA,,wild,ROUTE_1,land,0,table slot,,,night; levels 2-3
SPECIES_FRIGIBAX,,wild,ROUTE_1,land,0,table slot,,,night; levels 2-3
SPECIES_LITLEO,,wild,ROUTE_1,land,0,table slot,,,night; levels 2-3
SPECIES_GASTLY,,wild,ROUTE_1,land,0,table slot,,,night; levels 2-3
SPECIES_MISDREAVUS,,wild,ROUTE_1,land,0,table slot,,,night; levels 2-2
SPECIES_ZORUA,,wild,ROUTE_1,land,0,table slot,,,night; levels 2-3
SPECIES_MEOWTH_A,,wild,ROUTE_1,land,0,table slot,,,night; levels 2-3
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,varies,20,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,varies,20,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
