order,source,method,param,target,prerequisite,status
1,SPECIES_BULBASAUR,EVO_LEVEL,16,SPECIES_IVYSAUR,0,offline_capable
2,SPECIES_IVYSAUR,EVO_LEVEL,32,SPECIES_VENUSAUR,0,offline_capable
3,SPECIES_VENUSAUR,EVO_MEGA,ITEM_VENUSAURITE,SPECIES_VENUSAUR_MEGA,MEGA_VARIANT_STANDARD,transformation
4,SPECIES_VENUSAUR,EVO_GIGANTAMAX,TRUE,SPECIES_VENUSAUR_GIGA,0,transformation
5,SPECIES_CHARMANDER,EVO_LEVEL,16,SPECIES_CHARMELEON,0,offline_capable
6,SPECIES_CHARMELEON,EVO_LEVEL,36,SPECIES_CHARIZARD,0,offline_capable
7,SPECIES_CHARIZARD,EVO_MEGA,ITEM_CHARIZARDITE_X,SPECIES_CHARIZARD_MEGA_X,MEGA_VARIANT_STANDARD,transformation
8,SPECIES_CHARIZARD,EVO_MEGA,ITEM_CHARIZARDITE_Y,SPECIES_CHARIZARD_MEGA_Y,MEGA_VARIANT_STANDARD,transformation
9,SPECIES_CHARIZARD,EVO_GIGANTAMAX,TRUE,SPECIES_CHARIZARD_GIGA,0,transformation
10,SPECIES_SQUIRTLE,EVO_LEVEL,16,SPECIES_WARTORTLE,0,offline_capable
11,SPECIES_WARTORTLE,EVO_LEVEL,36,SPECIES_BLASTOISE,0,offline_capable
12,SPECIES_BLASTOISE,EVO_MEGA,ITEM_BLASTOISINITE,SPECIES_BLASTOISE_MEGA,MEGA_VARIANT_STANDARD,transformation
13,SPECIES_BLASTOISE,EVO_GIGANTAMAX,TRUE,SPECIES_BLASTOISE_GIGA,0,transformation
14,SPECIES_CATERPIE,EVO_LEVEL,7,SPECIES_METAPOD,0,offline_capable
15,SPECIES_METAPOD,EVO_LEVEL,10,SPECIES_BUTTERFREE,0,offline_capable
16,SPECIES_BUTTERFREE,EVO_GIGANTAMAX,TRUE,SPECIES_BUTTERFREE_GIGA,0,transformation
17,SPECIES_WEEDLE,EVO_LEVEL,7,SPECIES_KAKUNA,0,offline_capable
18,SPECIES_KAKUNA,EVO_LEVEL,10,SPECIES_BEEDRILL,0,offline_capable
19,SPECIES_BEEDRILL,EVO_MEGA,ITEM_BEEDRILLITE,SPECIES_BEEDRILL_MEGA,MEGA_VARIANT_STANDARD,transformation
20,SPECIES_PIDGEY,EVO_LEVEL,18,SPECIES_PIDGEOTTO,0,offline_capable
21,SPECIES_PIDGEOTTO,EVO_LEVEL,36,SPECIES_PIDGEOT,0,offline_capable
22,SPECIES_PIDGEOT,EVO_MEGA,ITEM_PIDGEOTITE,SPECIES_PIDGEOT_MEGA,MEGA_VARIANT_STANDARD,transformation
23,SPECIES_RATTATA,EVO_LEVEL,20,SPECIES_RATICATE,0,offline_capable
24,SPECIES_SPEAROW,EVO_LEVEL,20,SPECIES_FEAROW,0,offline_capable
25,SPECIES_EKANS,EVO_LEVEL,22,SPECIES_ARBOK,0,offline_capable
26,SPECIES_PIKACHU,EVO_ITEM,ITEM_THUNDER_STONE,SPECIES_RAICHU,0,offline_capable
27,SPECIES_PIKACHU,EVO_ITEM,ITEM_SHINY_STONE,SPECIES_RAICHU_A,0,offline_capable
28,SPECIES_PIKACHU,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
29,SPECIES_PIKACHU_SURFING,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
30,SPECIES_PIKACHU_FLYING,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
31,SPECIES_PIKACHU_COSPLAY,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
32,SPECIES_PIKACHU_LIBRE,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
33,SPECIES_PIKACHU_POP_STAR,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
34,SPECIES_PIKACHU_ROCK_STAR,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
35,SPECIES_PIKACHU_BELLE,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
36,SPECIES_PIKACHU_PHD,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
37,SPECIES_PIKACHU_CAP_ORIGINAL,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
38,SPECIES_PIKACHU_CAP_HOENN,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
39,SPECIES_PIKACHU_CAP_SINNOH,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
40,SPECIES_PIKACHU_CAP_UNOVA,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
41,SPECIES_PIKACHU_CAP_KALOS,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
42,SPECIES_PIKACHU_CAP_ALOLA,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
43,SPECIES_PIKACHU_CAP_PARTNER,EVO_GIGANTAMAX,TRUE,SPECIES_PIKACHU_GIGA,0,transformation
44,SPECIES_SANDSHREW,EVO_LEVEL,22,SPECIES_SANDSLASH,0,offline_capable
45,SPECIES_NIDORAN_F,EVO_LEVEL,16,SPECIES_NIDORINA,0,offline_capable
46,SPECIES_NIDORINA,EVO_ITEM,ITEM_MOON_STONE,SPECIES_NIDOQUEEN,0,offline_capable
47,SPECIES_NIDORAN_M,EVO_LEVEL,16,SPECIES_NIDORINO,0,offline_capable
48,SPECIES_NIDORINO,EVO_ITEM,ITEM_MOON_STONE,SPECIES_NIDOKING,0,offline_capable
49,SPECIES_CLEFAIRY,EVO_ITEM,ITEM_MOON_STONE,SPECIES_CLEFABLE,0,offline_capable
50,SPECIES_VULPIX,EVO_ITEM,ITEM_FIRE_STONE,SPECIES_NINETALES,0,offline_capable
51,SPECIES_JIGGLYPUFF,EVO_ITEM,ITEM_MOON_STONE,SPECIES_WIGGLYTUFF,0,offline_capable
52,SPECIES_ZUBAT,EVO_LEVEL,22,SPECIES_GOLBAT,0,offline_capable
53,SPECIES_GOLBAT,EVO_FRIENDSHIP,0,SPECIES_CROBAT,0,offline_capable
54,SPECIES_ODDISH,EVO_LEVEL,21,SPECIES_GLOOM,0,offline_capable
55,SPECIES_GLOOM,EVO_ITEM,ITEM_LEAF_STONE,SPECIES_VILEPLUME,0,offline_capable
56,SPECIES_GLOOM,EVO_ITEM,ITEM_SUN_STONE,SPECIES_BELLOSSOM,0,offline_capable
57,SPECIES_PARAS,EVO_LEVEL,24,SPECIES_PARASECT,0,offline_capable
58,SPECIES_VENONAT,EVO_LEVEL,31,SPECIES_VENOMOTH,0,offline_capable
59,SPECIES_DIGLETT,EVO_LEVEL,26,SPECIES_DUGTRIO,0,offline_capable
60,SPECIES_MEOWTH,EVO_LEVEL,28,SPECIES_PERSIAN,0,offline_capable
61,SPECIES_MEOWTH,EVO_GIGANTAMAX,TRUE,SPECIES_MEOWTH_GIGA,0,transformation
62,SPECIES_PSYDUCK,EVO_LEVEL,33,SPECIES_GOLDUCK,0,offline_capable
63,SPECIES_MANKEY,EVO_LEVEL,28,SPECIES_PRIMEAPE,0,offline_capable
64,SPECIES_PRIMEAPE,EVO_MOVE,MOVE_RAGEFIST,SPECIES_ANNIHILAPE,0,offline_capable
65,SPECIES_GROWLITHE,EVO_ITEM,ITEM_FIRE_STONE,SPECIES_ARCANINE,0,offline_capable
66,SPECIES_POLIWAG,EVO_LEVEL,25,SPECIES_POLIWHIRL,0,offline_capable
67,SPECIES_POLIWHIRL,EVO_ITEM,ITEM_WATER_STONE,SPECIES_POLIWRATH,0,offline_capable
68,SPECIES_POLIWHIRL,EVO_TRADE_ITEM,ITEM_KINGS_ROCK,SPECIES_POLITOED,0,offline_capable
69,SPECIES_POLIWHIRL,EVO_ITEM,ITEM_KINGS_ROCK,SPECIES_POLITOED,0,offline_capable
70,SPECIES_ABRA,EVO_LEVEL,16,SPECIES_KADABRA,0,offline_capable
71,SPECIES_KADABRA,EVO_TRADE,0,SPECIES_ALAKAZAM,0,offline_capable
72,SPECIES_KADABRA,EVO_ITEM,ITEM_LINK_CABLE,SPECIES_ALAKAZAM,0,offline_capable
73,SPECIES_ALAKAZAM,EVO_MEGA,ITEM_ALAKAZITE,SPECIES_ALAKAZAM_MEGA,MEGA_VARIANT_STANDARD,transformation
74,SPECIES_MACHOP,EVO_LEVEL,28,SPECIES_MACHOKE,0,offline_capable
75,SPECIES_MACHOKE,EVO_TRADE,0,SPECIES_MACHAMP,0,offline_capable
76,SPECIES_MACHOKE,EVO_ITEM,ITEM_LINK_CABLE,SPECIES_MACHAMP,0,offline_capable
77,SPECIES_MACHAMP,EVO_GIGANTAMAX,TRUE,SPECIES_MACHAMP_GIGA,0,transformation
78,SPECIES_BELLSPROUT,EVO_LEVEL,21,SPECIES_WEEPINBELL,0,offline_capable
79,SPECIES_WEEPINBELL,EVO_ITEM,ITEM_LEAF_STONE,SPECIES_VICTREEBEL,0,offline_capable
80,SPECIES_TENTACOOL,EVO_LEVEL,30,SPECIES_TENTACRUEL,0,offline_capable
81,SPECIES_GEODUDE,EVO_LEVEL,25,SPECIES_GRAVELER,0,offline_capable
82,SPECIES_GRAVELER,EVO_ITEM,ITEM_LINK_CABLE,SPECIES_GOLEM,0,offline_capable
83,SPECIES_GRAVELER,EVO_TRADE,0,SPECIES_GOLEM,0,offline_capable
84,SPECIES_PONYTA,EVO_LEVEL,40,SPECIES_RAPIDASH,0,offline_capable
85,SPECIES_SLOWPOKE,EVO_LEVEL,37,SPECIES_SLOWBRO,0,offline_capable
86,SPECIES_SLOWPOKE,EVO_TRADE_ITEM,ITEM_KINGS_ROCK,SPECIES_SLOWKING,0,offline_capable
87,SPECIES_SLOWPOKE,EVO_ITEM,ITEM_KINGS_ROCK,SPECIES_SLOWKING,0,offline_capable
88,SPECIES_SLOWBRO,EVO_MEGA,ITEM_SLOWBRONITE,SPECIES_SLOWBRO_MEGA,MEGA_VARIANT_STANDARD,transformation
89,SPECIES_MAGNEMITE,EVO_LEVEL,30,SPECIES_MAGNETON,0,offline_capable
