item,id,location
ITEM_PROTECTOR,88,Celadon Department Store 4F
ITEM_ELECTIRIZER,89,Celadon Department Store 4F
ITEM_MAGMARIZER,90,Celadon Department Store 4F
ITEM_DUBIOUS_DISC,91,Celadon Department Store 4F
ITEM_REAPER_CLOTH,92,Celadon Department Store 4F
ITEM_SHINY_STONE,99,Celadon Department Store 4F
ITEM_DUSK_STONE,100,Celadon Department Store 4F
ITEM_DAWN_STONE,101,Celadon Department Store 4F
ITEM_ICE_STONE,102,Celadon Department Store 4F
ITEM_OVAL_STONE,118,Celadon Department Store 4F
ITEM_RAZOR_CLAW,119,Celadon Department Store 4F
ITEM_RAZOR_FANG,120,Celadon Department Store 4F
ITEM_PRISM_SCALE,176,Celadon Department Store 4F
ITEM_SACHET,177,Celadon Department Store 4F
ITEM_WHIPPED_DREAM,178,Celadon Department Store 4F
ITEM_DEEP_SEA_TOOTH,192,Celadon Department Store 4F
ITEM_DEEP_SEA_SCALE,193,Celadon Department Store 4F
ITEM_METAL_POWDER,223,Celadon Department Store 4F
ITEM_STRAWBERRY_SWEET,226,Celadon Department Store 4F
ITEM_BERRY_SWEET,227,Celadon Department Store 4F
ITEM_LOVE_SWEET,228,Celadon Department Store 4F
ITEM_CLOVER_SWEET,229,Celadon Department Store 4F
ITEM_FLOWER_SWEET,230,Celadon Department Store 4F
ITEM_RIBBON_SWEET,231,Celadon Department Store 4F
ITEM_STAR_SWEET,232,Celadon Department Store 4F
ITEM_SWEET_APPLE,233,Celadon Department Store 4F
ITEM_TART_APPLE,234,Celadon Department Store 4F
ITEM_CRACKED_POT,235,Celadon Department Store 4F
ITEM_CHIPPED_POT,236,Celadon Department Store 4F
ITEM_GALARICA_CUFF,237,Celadon Department Store 4F
ITEM_GALARICA_WREATH,238,Celadon Department Store 4F
ITEM_AUSPICIOUS_ARMOR,730,Celadon Department Store 4F
ITEM_MALICIOUS_ARMOR,731,Celadon Department Store 4F
ITEM_BLACK_AUGURITE,732,Celadon Department Store 4F
ITEM_METAL_ALLOY,733,Celadon Department Store 4F
ITEM_PEAT_BLOCK,734,Celadon Department Store 4F
ITEM_LEADERS_CREST,735,Celadon Department Store 4F
ITEM_SYRUPY_APPLE,737,Celadon Department Store 4F
ITEM_HISUI_ROCK,771,Celadon Department Store 4F
ITEM_UNREMARKABLE_TEACUP,772,Celadon Department Store 4F
ITEM_MASTERPIECE_TEACUP,773,Celadon Department Store 4F
