kind,value,source,target,method,available,evidence
item,ITEM_THUNDER_STONE,SPECIES_PIKACHU,SPECIES_RAICHU,EVO_ITEM,true,.upstream/pret/data/scripts/item_ball_scripts.inc
item,ITEM_SHINY_STONE,SPECIES_PIKACHU,SPECIES_RAICHU_A,EVO_ITEM,true,data/evolution_item_shop.csv
item,ITEM_MOON_STONE,SPECIES_NIDORINA,SPECIES_NIDOQUEEN,EVO_ITEM,true,.upstream/pret/data/scripts/item_ball_scripts.inc
item,ITEM_MOON_STONE,SPECIES_NIDORINO,SPECIES_NIDOKING,EVO_ITEM,true,.upstream/pret/data/scripts/item_ball_scripts.inc
item,ITEM_MOON_STONE,SPECIES_CLEFAIRY,SPECIES_CLEFABLE,EVO_ITEM,true,.upstream/pret/data/scripts/item_ball_scripts.inc
item,ITEM_FIRE_STONE,SPECIES_VULPIX,SPECIES_NINETALES,EVO_ITEM,true,.upstream/pret/data/scripts/item_ball_scripts.inc
item,ITEM_MOON_STONE,SPECIES_JIGGLYPUFF,SPECIES_WIGGLYTUFF,EVO_ITEM,true,.upstream/pret/data/scripts/item_ball_scripts.inc
item,ITEM_LEAF_STONE,SPECIES_GLOOM,SPECIES_VILEPLUME,EVO_ITEM,true,.upstream/pret/data/scripts/item_ball_scripts.inc
item,ITEM_SUN_STONE,SPECIES_GLOOM,SPECIES_BELLOSSOM,EVO_ITEM,true,.upstream/pret/data/scripts/item_ball_scripts.inc
move,MOVE_RAGEFIST,SPECIES_PRIMEAPE,SPECIES_ANNIHILAPE,EVO_MOVE,true,source species level-up learnset
item,ITEM_FIRE_STONE,SPECIES_GROWLITHE,SPECIES_ARCANINE,EVO_ITEM,true,.upstream/pret/data/scripts/item_ball_scripts.inc
item,ITEM_WATER_STONE,SPECIES_POLIWHIRL,SPECIES_POLIWRATH,EVO_ITEM,true,.upstream/pret/data/scripts/item_ball_scripts.inc
