internal_id,base_species,target_form,route_category,trigger_item,trigger_location,item_consumed,reversible,battle_only,acquisition_method,implementation_status,handler_type,handler_symbol,script_symbol,binding_source,notes
413,SPECIES_UNOWN,SPECIES_UNOWN_B,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
414,SPECIES_UNOWN,SPECIES_UNOWN_C,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
415,SPECIES_UNOWN,SPECIES_UNOWN_D,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
416,SPECIES_UNOWN,SPECIES_UNOWN_E,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
417,SPECIES_UNOWN,SPECIES_UNOWN_F,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
418,SPECIES_UNOWN,SPECIES_UNOWN_G,REGIONAL_DISTINCT,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter binding,Canonical alternate form from Species_To_Pokdex_Table.c
419,SPECIES_UNOWN,SPECIES_UNOWN_H,REGIONAL_DISTINCT,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter binding,Canonical alternate form from Species_To_Pokdex_Table.c
420,SPECIES_UNOWN,SPECIES_UNOWN_I,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
421,SPECIES_UNOWN,SPECIES_UNOWN_J,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
422,SPECIES_UNOWN,SPECIES_UNOWN_K,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
423,SPECIES_UNOWN,SPECIES_UNOWN_L,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
424,SPECIES_UNOWN,SPECIES_UNOWN_M,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
425,SPECIES_UNOWN,SPECIES_UNOWN_N,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
426,SPECIES_UNOWN,SPECIES_UNOWN_O,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
427,SPECIES_UNOWN,SPECIES_UNOWN_P,REGIONAL_DISTINCT,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter binding,Canonical alternate form from Species_To_Pokdex_Table.c
428,SPECIES_UNOWN,SPECIES_UNOWN_Q,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
429,SPECIES_UNOWN,SPECIES_UNOWN_R,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
430,SPECIES_UNOWN,SPECIES_UNOWN_S,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
431,SPECIES_UNOWN,SPECIES_UNOWN_T,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
432,SPECIES_UNOWN,SPECIES_UNOWN_U,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
433,SPECIES_UNOWN,SPECIES_UNOWN_V,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
434,SPECIES_UNOWN,SPECIES_UNOWN_W,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
435,SPECIES_UNOWN,SPECIES_UNOWN_X,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
436,SPECIES_UNOWN,SPECIES_UNOWN_Y,ENCOUNTER_OR_EVOLUTION_LOCKED,,,false,false,false,research_preserve_encounter,NOT_IMPLEMENTED,PENDING,,,pending generated encounter/evolution binding,Canonical alternate form from Species_To_Pokdex_Table.c
