family,members,present,missing,handler
Paldean Tauros,SPECIES_TAUROS_P;SPECIES_TAUROS_BLAZE_P;SPECIES_TAUROS_AQUA_P,SPECIES_TAUROS_P;SPECIES_TAUROS_BLAZE_P;SPECIES_TAUROS_AQUA_P,,requires handler review
Basculin,SPECIES_BASCULIN_RED;SPECIES_BASCULIN_BLUE;SPECIES_BASCULIN_H,SPECIES_BASCULIN_RED;SPECIES_BASCULIN_BLUE;SPECIES_BASCULIN_H,,requires handler review
Oricorio,SPECIES_ORICORIO;SPECIES_ORICORIO_Y;SPECIES_ORICORIO_P;SPECIES_ORICORIO_S,SPECIES_ORICORIO;SPECIES_ORICORIO_Y;SPECIES_ORICORIO_P;SPECIES_ORICORIO_S,,item/form handler present
Deerling/Sawsbuck,SPECIES_DEERLING;SPECIES_DEERLING_AUTUMN;SPECIES_DEERLING_SUMMER;SPECIES_DEERLING_WINTER,SPECIES_DEERLING;SPECIES_DEERLING_AUTUMN;SPECIES_DEERLING_SUMMER;SPECIES_DEERLING_WINTER,,requires handler review
Shellos/Gastrodon,SPECIES_SHELLOS;SPECIES_SHELLOS_EAST;SPECIES_GASTRODON;SPECIES_GASTRODON_EAST,SPECIES_SHELLOS;SPECIES_SHELLOS_EAST;SPECIES_GASTRODON;SPECIES_GASTRODON_EAST,,requires handler review
Flabebe,SPECIES_FLABEBE;SPECIES_FLABEBE_BLUE;SPECIES_FLABEBE_ORANGE;SPECIES_FLABEBE_WHITE;SPECIES_FLABEBE_YELLOW,SPECIES_FLABEBE;SPECIES_FLABEBE_BLUE;SPECIES_FLABEBE_ORANGE;SPECIES_FLABEBE_WHITE;SPECIES_FLABEBE_YELLOW,,requires handler review
Pumpkaboo/Gourgeist,SPECIES_PUMPKABOO;SPECIES_GOURGEIST;SPECIES_GOURGEIST_L;SPECIES_GOURGEIST_M;SPECIES_GOURGEIST_XL,SPECIES_PUMPKABOO;SPECIES_GOURGEIST;SPECIES_GOURGEIST_L;SPECIES_GOURGEIST_M;SPECIES_GOURGEIST_XL,,requires handler review
Tatsugiri,SPECIES_TATSUGIRI;SPECIES_TATSUGIRI_RED;SPECIES_TATSUGIRI_YELLOW,SPECIES_TATSUGIRI;SPECIES_TATSUGIRI_RED;SPECIES_TATSUGIRI_YELLOW,,requires handler review
Maushold,SPECIES_MAUSHOLD;SPECIES_MAUSHOLD_FOUR,SPECIES_MAUSHOLD;SPECIES_MAUSHOLD_FOUR,,requires handler review
Dudunsparce,SPECIES_DUDUNSPARCE;SPECIES_DUDUNSPARCE_THREE,SPECIES_DUDUNSPARCE;SPECIES_DUDUNSPARCE_THREE,,requires handler review
Rotom,SPECIES_ROTOM;SPECIES_ROTOM_HEAT;SPECIES_ROTOM_WASH;SPECIES_ROTOM_FROST;SPECIES_ROTOM_FAN;SPECIES_ROTOM_MOW,SPECIES_ROTOM;SPECIES_ROTOM_HEAT;SPECIES_ROTOM_WASH;SPECIES_ROTOM_FROST;SPECIES_ROTOM_FAN;SPECIES_ROTOM_MOW,,requires handler review
Deoxys,SPECIES_DEOXYS;SPECIES_DEOXYS_ATTACK;SPECIES_DEOXYS_DEFENSE;SPECIES_DEOXYS_SPEED,SPECIES_DEOXYS;SPECIES_DEOXYS_ATTACK;SPECIES_DEOXYS_DEFENSE;SPECIES_DEOXYS_SPEED,,requires handler review
Shaymin,SPECIES_SHAYMIN;SPECIES_SHAYMIN_SKY,SPECIES_SHAYMIN;SPECIES_SHAYMIN_SKY,,item/form handler present
Hoopa,SPECIES_HOOPA;SPECIES_HOOPA_UNBOUND,SPECIES_HOOPA;SPECIES_HOOPA_UNBOUND,,item/form handler present
Furfrou,SPECIES_FURFROU;SPECIES_FURFROU_HEART;SPECIES_FURFROU_DIAMOND;SPECIES_FURFROU_STAR,SPECIES_FURFROU;SPECIES_FURFROU_HEART;SPECIES_FURFROU_DIAMOND;SPECIES_FURFROU_STAR,,requires handler review
Arceus,SPECIES_ARCEUS;SPECIES_ARCEUS_FIRE;SPECIES_ARCEUS_WATER;SPECIES_ARCEUS_GRASS,SPECIES_ARCEUS;SPECIES_ARCEUS_FIRE;SPECIES_ARCEUS_WATER;SPECIES_ARCEUS_GRASS,,requires handler review
Silvally,SPECIES_SILVALLY;SPECIES_SILVALLY_FIRE;SPECIES_SILVALLY_WATER;SPECIES_SILVALLY_FAIRY,SPECIES_SILVALLY;SPECIES_SILVALLY_FIRE;SPECIES_SILVALLY_WATER;SPECIES_SILVALLY_FAIRY,,requires handler review
Genesect,SPECIES_GENESECT;SPECIES_GENESECT_BURN;SPECIES_GENESECT_CHILL;SPECIES_GENESECT_DOUSE;SPECIES_GENESECT_SHOCK,SPECIES_GENESECT;SPECIES_GENESECT_BURN;SPECIES_GENESECT_CHILL;SPECIES_GENESECT_DOUSE;SPECIES_GENESECT_SHOCK,,requires handler review
Ogerpon,SPECIES_OGERPON;SPECIES_OGERPON_WELLSPRING_MASK;SPECIES_OGERPON_HEARTHFLAME_MASK;SPECIES_OGERPON_CORNERSTONE_MASK,SPECIES_OGERPON;SPECIES_OGERPON_WELLSPRING_MASK;SPECIES_OGERPON_HEARTHFLAME_MASK;SPECIES_OGERPON_CORNERSTONE_MASK,,requires handler review
Terapagos,SPECIES_TERAPAGOS;SPECIES_TERAPAGOS_STELLAR,SPECIES_TERAPAGOS;SPECIES_TERAPAGOS_STELLAR,,requires handler review
