species,form,acquisition_method,map,encounter_type,badge_requirement,rate,evolution_source,quest,notes
SPECIES_ABSOL,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 1
SPECIES_ALCREMIE_GIGA,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 2
SPECIES_ALOMOMOLA,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 3
SPECIES_AMAURA,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 4
SPECIES_ANORITH,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 5
SPECIES_APPLIN,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 6
SPECIES_ARCEUS,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 7
SPECIES_ARCHEN,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 8
SPECIES_ARCTOVISH,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 9
SPECIES_ARCTOZOLT,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 10
SPECIES_ARON,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 11
SPECIES_ARROKUDA,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 12
SPECIES_AUDINO,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 1
SPECIES_AXEW,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 2
SPECIES_AZELF,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 3
SPECIES_AZURILL,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 4
SPECIES_BAGON,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 5
SPECIES_BALTOY,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 6
SPECIES_BARBOACH,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 7
SPECIES_BASCULIN_H,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 8
SPECIES_BELDUM,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 9
SPECIES_BELLSPROUT,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 10
SPECIES_BERGMITE,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 11
SPECIES_BIDOOF,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 12
SPECIES_BINACLE,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 1
SPECIES_BLACEPHALON,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 2
SPECIES_BLIPBUG,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 3
SPECIES_BLITZLE,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 4
SPECIES_BOMBIRDIER,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 5
SPECIES_BONSLY,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 6
SPECIES_BOUFFALANT,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 7
SPECIES_BOUNSWEET,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 8
SPECIES_BRAMBLIN,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 9
SPECIES_BRONZOR,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 10
