species,form,generation,portal_or_map,unlock_condition,required_item,defeat_reset,flee_reset,capture_flag,implementation_status
SPECIES_ARTICUNO,,1,SeafoamIslands_B4F,postgame,,reentry,reentry,FLAG_FOUGHT_ARTICUNO,IMPLEMENTED_UNVERIFIED
SPECIES_ZAPDOS,,1,PowerPlant,postgame,,reentry,reentry,FLAG_FOUGHT_ZAPDOS,IMPLEMENTED_UNVERIFIED
SPECIES_MOLTRES,,1,MtEmber_Summit,postgame,,reentry,reentry,FLAG_FOUGHT_MOLTRES,IMPLEMENTED_UNVERIFIED
SPECIES_MEWTWO,,1,CeruleanCave_B1F,postgame,,reentry,reentry,FLAG_FOUGHT_MEWTWO,IMPLEMENTED_UNVERIFIED
SPECIES_LUGIA,,2,NavelRock_Base,postgame,MYSTIC_TICKET,reentry,reentry,FLAG_FOUGHT_LUGIA,IMPLEMENTED_UNVERIFIED
SPECIES_HO_OH,,2,NavelRock_Summit,postgame,MYSTIC_TICKET,reentry,reentry,FLAG_FOUGHT_HO_OH,IMPLEMENTED_UNVERIFIED
SPECIES_CELEBI,,2,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_CELEBI,IMPLEMENTED_UNVERIFIED
SPECIES_DEOXYS,,3,BirthIsland_Exterior,postgame,AURORA_TICKET,reentry,reentry,FLAG_FOUGHT_DEOXYS,IMPLEMENTED_UNVERIFIED
SPECIES_REGIROCK,,3,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_REGIROCK,IMPLEMENTED_UNVERIFIED
SPECIES_REGICE,,3,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_REGICE,IMPLEMENTED_UNVERIFIED
SPECIES_REGISTEEL,,3,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_REGISTEEL,IMPLEMENTED_UNVERIFIED
SPECIES_RAYQUAZA,,3,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_RAYQUAZA,IMPLEMENTED_UNVERIFIED
SPECIES_DARKRAI,,4,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_DARKRAI,IMPLEMENTED_UNVERIFIED
SPECIES_ARCEUS,,4,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_ARCEUS,IMPLEMENTED_UNVERIFIED
SPECIES_VICTINI,,5,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_VICTINI,IMPLEMENTED_UNVERIFIED
SPECIES_KELDEO,,5,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_KELDEO,IMPLEMENTED_UNVERIFIED
SPECIES_MELOETTA,,5,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_MELOETTA,IMPLEMENTED_UNVERIFIED
SPECIES_DIANCIE,,6,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_DIANCIE,IMPLEMENTED_UNVERIFIED
SPECIES_VOLCANION,,6,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_VOLCANION,IMPLEMENTED_UNVERIFIED
SPECIES_MAGEARNA,,7,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_MAGEARNA,IMPLEMENTED_UNVERIFIED
SPECIES_MARSHADOW,,7,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_MARSHADOW,IMPLEMENTED_UNVERIFIED
SPECIES_ZERAORA,,7,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_ZERAORA,IMPLEMENTED_UNVERIFIED
SPECIES_CELESTEELA,,7,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_CELESTEELA,IMPLEMENTED_UNVERIFIED
SPECIES_ETERNATUS,,8,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_ETERNATUS,IMPLEMENTED_UNVERIFIED
SPECIES_ENAMORUS,,8,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_ENAMORUS,IMPLEMENTED_UNVERIFIED
SPECIES_PECHARUNT,,9,SeviiResearchHub,postgame,,hub,reentry,FLAG_M5_FOUGHT_PECHARUNT,IMPLEMENTED_UNVERIFIED
